feature,rf_importance,anova_f_score,anova_p_value,stability_score,is_final
mean radius,0.025387644346486674,19.762342201268,1.4850335193311292e-05,0.2,0
mean texture,0.06273632689540289,16.877446676948598,5.9108712281349446e-05,0.6,0
mean perimeter,0.028236635922327443,21.307587009794844,7.166295982477189e-06,0.0,0
mean area,0.019988595605834006,22.675234597948915,3.7833030465674724e-06,0.2,0
mean smoothness,0.009088321574793216,2.093318175620653,0.1495835872241753,0.0,0
mean compactness,0.006383178708539711,7.052375003218647,0.008584719861481998,0.0,0
mean concavity,0.07480738403221526,46.42026480996547,1.21110807290146e-10,0.8,1
mean concave points,0.03548175785800797,39.22968741540074,2.4381691475084818e-09,0.4,0
mean symmetry,0.004381117726139443,0.0749993730520337,0.7844880432898553,0.0,0
mean fractal dimension,0.005385164861851505,1.7593857218708417,0.18628497002278538,0.0,0
radius error,0.026530664362988815,15.007230673572103,0.0001470744404402182,0.0,0
texture error,0.025980504924985805,2.434694186657312,0.12033241786776301,0.2,0
perimeter error,0.029707210915690962,14.847670497038042,0.00015907016111607562,0.2,0
area error,0.06055977111865711,36.297892529010184,8.548788732065921e-09,1.0,1
smoothness error,0.031850289669121214,1.9299188439413542,0.16638480479961132,0.2,0
compactness error,0.012479859068925037,4.818947479558874e-06,0.9982507682081828,0.0,0
concavity error,0.010105618103594796,3.3926977895739108,0.06703625816474036,0.0,0
concave points error,0.016859300844768322,5.29967922662539,0.02240764765015014,0.0,0
symmetry error,0.013316487410414498,8.301912872553997,0.00441340079032097,0.0,0
fractal dimension error,0.013112344884689096,0.9778564048623261,0.3239796502287353,0.0,0
worst radius,0.06755261348433084,44.79086861395221,2.3700786917064557e-10,1.0,1
worst texture,0.05160047147100198,27.103829873844226,4.958869978011996e-07,0.2,0
worst perimeter,0.06808760658996817,44.06390597307386,3.2031037334869073e-10,0.8,1
worst area,0.07571949360792728,53.91763334177196,5.876685445443052e-12,1.0,1
worst smoothness,0.009550151054796677,5.822199921600829,0.016770167263769207,0.0,0
worst compactness,0.02309356140320805,13.540473862524818,0.0003036001812261949,0.0,0
worst concavity,0.07865668498007328,36.95281277188913,6.449126473116209e-09,1.0,1
worst concave points,0.08026292175596965,40.79993597161068,1.254528008157887e-09,1.0,0
worst symmetry,0.015952571220326364,4.2810559034068225,0.039885815862266104,0.0,0
worst fractal dimension,0.0171457455969639,1.994057413517425,0.15954445191646538,0.2,0
